"year","total","rest","recycle"
1970,"309","262","48"
1971,"310","262","49"
1972,"312","262","50"
1973,"322","270","52"
1974,"348","294","54"
1975,"355","298","57"
1976,"371","308","63"
1977,"386","317","70"
1978,"408","333","74"
1979,"432","353","80"
1980,"444","359","85"
1981,"459","364","95"
1982,"468","366","102"
1983,"481","373","108"
1984,"512","397","115"
1985,"522","400","122"
1986,"543","414","129"
1987,"562","422","141"
1988,"583","432","151"
1989,"604","443","161"
1990,"603","431","172"
1991,"601","419","182"
1992,"595","407","188"
1993,"596","400","196"
1994,"599","380","219"
1995,"600","368","232"
1996,"600","352","248"
1997,"606","350","256"
1998,"611","344","267"
1999,"636","363","273"
2000,"659","361","298"
2001,"666","356","310"
2002,"676","360","316"
2003,"669","351","318"
2004,"659",337,"322"
2005,"662",327,"335"
2006,"708",352,"356"
2007,"718",351,"367"
2008,"733",366,"367"
2009,"700",340,"360"
2010,"706",349,"357"
2011,"689",344,"345"
2012,"694",347,"347"
2013,"702",344,"358"
2014,"729",339,"390"
2015,"724",342,"382"
2016,"716",340,"376"
2017,"703",334,"369"
2018,"703",334,"369"
2019,"704",331,"373"
